,ID,Name,Trip Type,Myopic Trip,Origin,Location of Origin,Destination,Location of Destination,Allotted Driver,Amount Paid,Time of Request,Time in transit,Time of Arrival,Time spent waiting,Start of Travel Time,End of Travel Time,Time spent travelling,Additional Info
0,7,Person #7,0,True,,[ 0.  0.],,[-0.02124797  1.22445411],1,25.0,10.0310001373,0,10.0310001373,0.0309998989105,10.0620000362,115.031000137,104.969000101,
1,5,Person #5,0,True,,[ 0.  0.],,[-0.02814763  1.59427048],4,25.0,10.0310001373,0,10.0310001373,0.0469999313354,10.0780000687,115.031000137,104.953000069,
2,9,Person #9,0,True,,[ 0.  0.],,[ 1.48890824  1.2893616 ],2,35.8957777954,10.0310001373,0,10.0310001373,0.0469999313354,10.0780000687,115.031000137,104.953000069,
3,3,Person #3,0,True,,[ 0.  0.],,[-1.03331742  1.90916731],8,38.194786229,10.0310001373,0,10.0310001373,0.0620000362396,10.0930001736,115.031000137,104.937999964,
4,1,Person #1,0,True,,[ 0.  0.],,[ 4.57697174  4.2216512 ],5,120.180721239,10.0310001373,0,10.0310001373,0.0620000362396,10.0930001736,155.031000137,144.937999964,
5,14,Person #14,0,True,,[ 0.  0.],,[-0.14847717  0.32744494],3,25.0,29.0320000648,0,29.0320000648,0.0780000686646,29.1100001335,29.0320000648,-0.0780000686646,
6,6,Person #6,0,True,,[ 0.  0.],,[-0.44231593  2.90664473],5,44.0485519023,29.0320000648,0,29.0320000648,0.0780000686646,29.1100001335,29.0320000648,-0.0780000686646,
7,10,Person #10,0,True,,[ 0.  0.],,[ 2.79628712 -1.17916984],4,54.2409336097,29.0320000648,0,29.0320000648,0.0780000686646,29.1100001335,29.0320000648,-0.0780000686646,
8,12,Person #12,0,True,,[ 0.  0.],,[ 3.32624584  2.30189929],10,75.7940317015,29.0320000648,0,29.0320000648,0.0780000686646,29.1100001335,29.0320000648,-0.0780000686646,
9,8,Person #8,0,True,,[ 0.  0.],,[ 4.10322352 -1.25648919],8,71.2150250629,29.0320000648,0,29.0320000648,0.0780000686646,29.1100001335,29.0320000648,-0.0780000686646,
10,17,Person #17,0,True,,[ 0.  0.],,[ 2.57495421 -1.58942803],6,55.3013514219,48.0480000973,0,48.0480000973,0.0780000686646,48.1260001659,48.0480000973,-0.0780000686646,
11,15,Person #15,0,True,,[ 0.  0.],,[-0.99382681 -3.92333028],8,64.2881709259,48.0480000973,0,48.0480000973,0.0780000686646,48.1260001659,48.0480000973,-0.0780000686646,
12,11,Person #11,0,True,,[ 0.  0.],,[ 2.84569382 -3.82839582],7,90.4372550876,48.0330002308,0,48.0330002308,0.0929999351501,48.1260001659,48.0330002308,-0.0929999351501,
13,19,Person #19,0,True,,[ 0.  0.],,[-1.12016674 -5.68940231],9,92.3339666437,48.0480000973,0,48.0480000973,0.0780000686646,48.1260001659,48.0480000973,-0.0780000686646,
14,13,Person #13,0,True,,[ 0.  0.],,[-6.24238446 -3.16457311],10,130.45058993,48.0480000973,0,48.0480000973,0.0780000686646,48.1260001659,48.0480000973,-0.0780000686646,
